district,median_price_per_sqm,sample_count,avg_age_years,has_elevator_pct
中區,125000,52,38,15
東區,182000,168,32,42
南區,225000,287,28,68
西區,275000,234,30,75
北區,268000,312,29,72
北屯區,295000,567,18,82
西屯區,385000,621,12,92
南屯區,348000,498,15,88
太平區,198000,402,22,55
大里區,215000,378,20,62
霧峰區,158000,156,28,38
烏日區,225000,198,25,65
豐原區,182000,234,30,48
后里區,128000,98,35,28
石岡區,95000,42,40,18
東勢區,82000,68,42,12
和平區,65000,18,38,8
潭子區,205000,245,22,62
大雅區,195000,212,24,55
神岡區,145000,168,30,35
大肚區,128000,98,32,28
沙鹿區,215000,287,18,68
龍井區,158000,142,28,42
梧棲區,138000,98,30,38
清水區,118000,128,35,32
大甲區,128000,156,32,35
外埔區,95000,68,38,22
大安區,88000,42,42,18
