sitename,county,aqi,pm2_5,pm10,o3,latitude,longitude
基隆,基隆市,55,12,25,11,25.129167,121.760056
汐止,新北市,64,16,30,6,25.06624,121.64081
新店,新北市,61,18,28,17,24.977222,121.537778
土城,新北市,68,21,41,4,24.982528,121.451861
板橋,新北市,78,,, ,25.012972,121.458667
新莊,新北市,77,23,37,3,25.037972,121.4325
菜寮,新北市,67,21,24,15,25.06895,121.481028
林口,新北市,75,23,29,16,25.07798949,121.36548982
淡水,新北市,64,17,29,17,25.1645,121.449239
士林,臺北市,61,13,28,22,25.10334003,121.51666356
中山,臺北市,69,19,27,21,25.062361,121.526528
萬華,臺北市,61,14,24,21,25.046503,121.507972
古亭,臺北市,58,15,28,20,25.020608,121.529556
松山,臺北市,54,12,19,19,25.05,121.578611
大同,臺北市,67,19,24,17,25.06331455,121.51342074
桃園,桃園市,75,20,36,21,24.9947107,121.30500531
大園,桃園市,63,18,32,15,25.06100357,121.20251473
觀音,桃園市,67,16,21,8,25.03556747,121.08283092
平鎮,桃園市,73,21,31,23,24.952786,121.203986
龍潭,桃園市,62,14,26,22,24.86400048,121.21645772
湖口,新竹縣,66,19,24,14,24.90009696,121.03886894
竹東,新竹縣,65,19,26,14,24.74091408,121.08895493
新竹,新竹市,62,13,26,17,24.8056356,120.97236752
頭份,苗栗縣,58,12,30,13,24.69690679,120.89869286
苗栗,苗栗縣,53,11,16,23,24.56499183,120.82011468
三義,苗栗縣,44,11,15,22,24.38248443,120.75956754
豐原,臺中市,39,8,20,24,24.25699731,120.74252414
沙鹿,臺中市,37,7,20,23,24.225628,120.568794
大里,臺中市,54,15,29,15,24.09961111,120.67844444
忠明,臺中市,54,13,23,19,24.151958,120.641092
西屯,臺中市,55,11,22,12,24.162197,120.616917
彰化,彰化縣,50,9,24,19,24.066,120.541519
線西,彰化縣,50,10,20,19,24.131672,120.469061
二林,彰化縣,53,6,25,19,23.925175,120.409653
南投,南投縣,54,11,21,11,23.913,120.685306
斗六,雲林縣,48,10,21,13,23.711853,120.544994
崙背,雲林縣,37,3,21,25,23.757547,120.348742
新港,嘉義縣,27,3,13,30,23.554839,120.345531
朴子,嘉義縣,23,0,10,27,23.46538,120.2478
臺西,雲林縣,25,2,13,24,23.702175,120.19933333
嘉義,嘉義市,25,0,11,25,23.46477865,120.44125148
新營,臺南市,30,2,19,25,23.305633,120.31725
善化,臺南市,24,5,10,27,23.11337642,120.29740529
安南,臺南市,29,0,7,34,23.048197,120.2175
臺南,臺南市,25,3,4,29,22.98928311,120.21947897
美濃,高雄市,24,3,8,25,22.883583,120.530542
橋頭,高雄市,31,4,7,30,22.757506,120.305689
仁武,高雄市,34,3,10,36,22.689056,120.332631
鳳山,高雄市,28,1,5,27,22.628126,120.357422
大寮,高雄市,28,3,10,29,22.56413611,120.425311
林園,高雄市,30,7,21,30,22.4795,120.41175
楠梓,高雄市,27,7,9,27,22.733667,120.328289
左營,高雄市,27,2,6,30,22.674861,120.292917
前金,高雄市,27,0,8,29,22.63390278,120.28676111
前鎮,高雄市,29,1,8,31,22.6044507,120.30833356
小港,高雄市,37,2,11,28,22.565833,120.337736
屏東,屏東縣,31,0,3,33,22.673081,120.488033
潮州,屏東縣,30,0,5,29,22.523108,120.561175
恆春,屏東縣,32,7,13,35,21.958069,120.788928
臺東,臺東縣,30,4,5,30,22.755358,121.15045
花蓮,花蓮縣,44,10,16,15,23.971306,121.599769
陽明,臺北市,67,17,26,39,25.182722,121.529583
宜蘭,宜蘭縣,52,12,24,17,24.747917,121.746394
冬山,宜蘭縣,59,20,24,17,24.632203,121.792928
三重,新北市,72,25,28,14,25.072611,121.493806
中壢,桃園市,76,21,31,20,24.953278,121.221667
竹山,南投縣,46,12,21,17,23.756389,120.677306
永和,新北市,60,13,23,20,25.017,121.516306
復興,高雄市,27,2,9,29,22.608711,120.312017
埔里,南投縣,59,13,26,10,23.968842,120.967903
馬祖,連江縣,59,15,25,26,26.153736,119.952724
金門,金門縣,59,18,21,33,24.432133,118.312256
馬公,澎湖縣,33,0,9,36,23.569031,119.566158
關山,臺東縣,22,7,14,13,23.045083,121.161933
麥寮,雲林縣,27,3,14,23,23.753506,120.251825
富貴角,新北市,67,16,32,27,25.29681695,121.53656894
大城,彰化縣,25,2,13,26,23.85493056,120.26964167
臺灣大道,臺中市,54,13,20,21,24.1589,120.6567111
員林,彰化縣,57,11,19,18,23.9615945,120.5631893
林森,臺南市,24,3,10,29,22.98522502,120.22216042
南投鹿谷,南投縣,57,15,22,42,23.71867609,120.7944772
屏東琉球,屏東縣,32,0,5,32,22.35222,120.37722
新北樹林,新北市,81,24,31,8,24.94902778,121.38352778
屏東枋山,屏東縣,31,2,8,32,22.260899,120.651472
